Country Name,Exports (% of GDP) 2018,Exports (% of GDP) 2019
Afghanistan,..,..
Albania,31.5719544148007,31.3042698874727
Algeria,25.8611812587344,22.7144125423167
American Samoa,68.2316118935837,61.6692426584235
Andorra,..,..
Angola,40.8362898299819,40.7907550532833
Antigua and Barbuda,62.470548111624,69.2086423595831
Argentina,14.4366857499034,17.9248783778462
Armenia,39.3928940286073,41.3508013620849
Aruba,72.2527739552586,73.2345915426225
Australia,21.853558200255,24.1117883614814
Austria,55.4622191178234,55.7607848112938
Azerbaijan,54.0922938620586,49.0506275016423
"Bahamas, The",35.9289056078902,35.5364622818504
Bahrain,79.2525219237919,76.485960757711
Bangladesh,12.6747893850665,13.0947560042783
Barbados,41.2015067755981,41.9810525921627
Belarus,70.4545454545455,65.0944096428465
Belgium,83.0796294670067,82.3971820616943
Belize,51.5800710305332,51.8967694718585
Benin,27.2742306189085,29.6305271935478
Bermuda,51.4791563825902,51.7434243981752
Bhutan,29.1897197933938,31.4575059002767
Bolivia,25.9887950588635,24.9672622840166
Bosnia and Herzegovina,41.9845635628313,40.0400711149533
Botswana,44.2281439237392,37.0878176552067
Brazil,14.6349994952986,14.1229191903622
British Virgin Islands,..,..
Brunei Darussalam,51.9331276945691,57.946040538108
Bulgaria,65.7095232799399,63.9454784589651
Burkina Faso,28.0789061419219,29.2576956593294
Burundi,5.6856543143069,5.17204000000008
Cabo Verde,45.865993464408,46.7050331370949
Cambodia,61.5957275123247,61.0912965254955
Cameroon,18.7362534690181,19.8500907473186
Canada,32.3254037264858,32.3526958202565
Cayman Islands,71.587849798792,69.4710255697764
Central African Republic,15.9400300007701,15.7553800018083
Chad,36.1906824485852,36.7422534363826
Channel Islands,..,..
Chile,28.5290447397051,27.8432682036028
China,19.1121035365691,18.4099923152133
Colombia,15.8997196775431,15.8680386541241
Comoros,12.909022989086,12.7734606325226
"Congo, Dem. Rep.",32.5535282647371,25.8676651009614
"Congo, Rep.",62.2105922950548,56.1988161669292
Costa Rica,33.7385107753206,34.3253215588929
Cote d'Ivoire,22.6941999168587,23.0234557287769
Croatia,49.2565361725256,50.4858611565671
Cuba,14.5227333911607,12.2133743797594
Curacao,63.2460005532277,..
Cyprus,75.1840847638956,76.4877486300826
Czechia,76.9435759590934,73.8797803262645
Denmark,56.5598044910739,58.6471822154845
Djibouti,156.619875027706,166.717746372109
Dominica,29.1932598071942,..
Dominican Republic,23.5514313052003,23.0692820412923
Ecuador,22.6046839884209,23.0483673045907
"Egypt, Arab Rep.",17.984655608418,16.6440314510365
El Salvador,28.9343737810256,29.9559096080003
Equatorial Guinea,59.6145347244398,51.1307495482003
Eritrea,..,..
Estonia,74.3238978479862,73.884686414146
Eswatini,40.4318355582643,45.9448355682488
Ethiopia,8.37267586646371,7.9399766087609
Faroe Islands,52.8180066352782,55.7697162765718
Fiji,47.7487957958311,48.4609020081916
Finland,38.4687872116233,39.8806794019795
France,31.7136672102555,31.5920554143668
French Polynesia,20.9791687502218,20.5923590296429
Gabon,54.2990764910062,51.4310732271996
"Gambia, The",21.7264294987761,18.8413979684695
Georgia,50.5585276931977,54.8184931411381
Germany,47.3088591421652,47.1275808768289
Ghana,33.4548958825786,37.4495994213844
Gibraltar,..,..
Greece,38.9929061011015,40.1107639268746
Greenland,44.4545789045455,41.0427004962382
Grenada,..,..
Guam,19.2371202113606,22.0389569588439
Guatemala,18.1693265265636,17.6119761529528
Guinea,40.2070955310504,35.042049336042
Guinea-Bissau,25.2760949743129,20.2879496621221
Guyana,..,..
Haiti,10.7808225945312,10.5576734342764
Honduras,41.4548165613247,39.9185126725089
"Hong Kong SAR, China",188.339507002291,177.651315174364
Hungary,83.7553158559384,81.5297406120423
Iceland,46.0467623881339,43.7132484395931
India,19.9278285984011,18.6642648968953
Indonesia,21.0027464970783,18.5915277973681
"Iran, Islamic Rep.",31.1163801000709,23.4838672675323
Iraq,40.8026420265318,38.0518681988838
Ireland,122.480946405531,128.004242909111
Isle of Man,..,..
Israel,29.8729164592503,29.0493529523896
Italy,31.3535542007886,31.6024197276206
Jamaica,38.5638482851901,38.0360807474106
Japan,18.3149455985223,17.4635264275221
Jordan,35.1277586384661,36.6712029623066
Kazakhstan,37.6252184252873,36.4389870990994
